dataset,model,experiment_type,timestamp,accuracy,accuracy_train,f1_weighted,f1_weighted_train,f1_macro,f1_macro_train,precision_weighted,precision_weighted_train,precision_macro,precision_macro_train,recall_weighted,recall_weighted_train,recall_macro,recall_macro_train,roc_auc,roc_auc_train,log_loss,log_loss_train,n_samples_test,n_samples_train,n_features,n_classes,n_estimators,random_state
flights,rf_hyper,CUSTOM,20250607_132208,0.8286610717585463,0.896907722513089,0.828248189940809,0.8969066054628273,0.8268393207683356,0.8968494998749067,0.8300268336456062,0.8969179281958357,0.8323570086628181,0.8971787944850842,0.8286610717585463,0.896907722513089,0.8235951831865602,0.8965331033834539,0.8720779651593202,0.8999726214026924,0.7016109116796139,0.026801550106815396,25976,103904,22,2,10,42
credit_cards,rf_attr,CUSTOM,20250607_132208,0.8996445029624754,0.8999802497311769,0.899625089060556,0.8999801869407723,0.8366297507471542,0.8971288118741388,0.8996348984911236,0.8999802501653346,0.8840523297565647,0.8999901079334374,0.8996445029624754,0.8999802497311769,0.7985717686412547,0.8943037974683544,0.8292468275885339,0.9,0.010504998318939593,0.00047331980270127296,45570,182276,30,2,50,42
human_activity,rf_attr_hyper,CUSTOM,20250607_132208,0.8025788937902953,0.8985310119695321,0.8020150433481615,0.8985310766521206,0.8003626425481326,0.898569699286577,0.8032741778913517,0.8985334365544686,0.8025483298213114,0.8985532650500032,0.8025788937902953,0.8985310119695321,0.8000308398726399,0.8985882524796618,,,1.0520559402205559,0.032019023789416,2947,7352,562,6,10,42
